id_frase,media_clareza,std_clareza,media_fidelidade,std_fidelidade,media_efetividade,std_efetividade
1,4.6,1.34,4.2,1.79,4.2,1.79
2,4.5,3.54,5.0,2.83,5.5,2.12
3,5.67,1.53,6.0,1.0,6.33,1.15
4,7.0,,7.0,,7.0,
5,4.0,,4.0,,4.0,
6,6.0,1.73,6.0,1.73,6.0,1.73
7,3.67,0.58,4.67,1.15,4.67,1.15
8,5.5,2.12,5.5,2.12,6.0,1.41
9,6.0,1.0,5.67,1.53,6.0,1.73
10,4.0,,5.0,,4.0,
11,7.0,,7.0,,7.0,
12,5.25,2.06,5.5,1.73,5.5,1.73
14,5.5,1.91,5.25,2.06,6.0,1.41
15,5.67,2.31,6.0,1.73,5.67,2.31
16,5.0,2.83,5.5,2.12,5.5,2.12
17,5.0,2.83,4.5,2.12,5.0,2.83
18,4.6,1.82,6.0,1.41,4.4,0.89
19,5.67,2.31,6.0,1.73,4.67,3.21
20,3.5,0.71,4.0,0.0,4.0,0.0
21,4.0,1.0,4.33,0.58,4.33,0.58
22,6.0,1.41,4.5,2.12,5.0,2.83
23,3.5,0.71,3.5,0.71,4.5,0.71
24,3.0,,3.0,,3.0,
25,4.5,0.71,3.5,0.71,5.0,1.41
26,4.5,0.71,4.0,0.0,4.0,0.0
27,4.5,2.12,3.0,0.0,4.0,0.0
28,5.67,2.31,5.67,1.53,6.0,1.73
29,6.25,0.96,4.5,1.91,6.5,1.0
30,5.0,2.83,5.5,2.12,5.5,2.12
31,3.5,0.71,4.0,0.0,4.0,0.0
32,3.5,0.71,3.0,1.41,4.0,0.0
33,7.0,0.0,6.5,0.71,6.5,0.71
34,3.0,2.0,4.33,2.89,5.67,0.58
35,4.5,3.0,3.25,2.87,4.5,2.65
36,6.0,1.41,5.5,0.71,5.5,0.71
37,4.67,2.08,2.67,1.53,4.67,2.08
38,4.67,2.08,5.33,1.53,5.33,1.53
39,6.0,1.73,4.0,3.0,4.0,3.0
40,5.0,2.65,5.0,2.0,5.33,2.89
