id,timestamp,user_id,idade,escolaridade,id_frase,clareza,fidelidade,efetividade
15,2025-11-06 20:15:04.073+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,19,7,7,7
16,2025-11-06 20:17:34.608+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,25,5,3,6
17,2025-11-06 20:19:32.291+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,14,5,4,7
18,2025-11-06 20:21:05.164+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,35,1,1,1
19,2025-11-06 20:21:40.607+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,39,7,7,7
20,2025-11-06 20:22:45.109+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,15,7,7,7
21,2025-11-06 20:24:51.215+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,30,7,7,7
22,2025-11-06 20:25:51.812+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,16,7,7,7
23,2025-11-06 20:25:56.434+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,23,4,4,4
24,2025-11-06 20:26:01.854+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,32,4,4,4
25,2025-11-06 20:26:06.841+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,31,4,4,4
26,2025-11-06 20:26:11.594+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,18,4,4,4
27,2025-11-06 20:26:16.647+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,20,4,4,4
28,2025-11-06 20:26:22.038+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,38,4,4,4
29,2025-11-06 20:26:27.444+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,21,4,4,4
30,2025-11-06 20:26:32.265+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,26,4,4,4
31,2025-11-06 20:26:37.185+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,37,4,4,4
32,2025-11-06 20:26:42.238+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,7,4,4,4
33,2025-11-06 20:26:46.761+00,671d732c-43db-493a-b8cc-dd5f90970d14,24,Graduação Incompleta,12,4,4,4
